split,img_path,img,text,label,emotion,emotion_score,irony_score,humor_score_v2,tone_v3
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\42953.png,img/42953.png,its their character not their color that matters,0.0,confusion,0.1417112052440643,0.1339721828699112,0.023445132002234456,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\23058.png,img/23058.png,don't be afraid to love again everyone is not like your ex,0.0,love,0.1414094120264053,0.0781016573309898,0.0773020254448056,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\13894.png,img/13894.png,putting bows on your pet,0.0,caring,0.1232807785272598,0.7827394604682922,0.19245575591921804,irony
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\37408.png,img/37408.png,i love everything and everybody! except for squirrels i hate squirrels,0.0,realization,0.1161810234189033,0.4594350159168243,0.08040112778544424,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\82403.png,img/82403.png,"everybody loves chocolate chip cookies, even hitler",0.0,excitement,0.1199294179677963,0.8358360528945923,0.20023954734206195,irony
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\16952.png,img/16952.png,go sports! do the thing! win the points!,0.0,excitement,0.3174615204334259,0.1666314154863357,0.17201818190515042,humor
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\76932.png,img/76932.png,fine you're right. now can we fucking drop it?,0.0,confusion,0.1434394568204879,0.0831212028861045,0.014546210505068286,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\70914.png,img/70914.png,tattoos are bad for your health i know 5 million people that had tattoos and they all died,0.0,disappointment,0.1370216906070709,0.4895626008510589,0.0856734551489353,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\02973.png,img/02973.png,how long can i run? till the chain tightens,0.0,curiosity,0.1310090124607086,0.0340193696320056,0.0059533896856009795,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\58306.png,img/58306.png,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",0.0,confusion,0.168672576546669,0.2026321738958358,0.035460630431771265,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\79351.png,img/79351.png,jew mad? get fuhrerious!,1.0,anger,0.2777796685695648,0.1045226901769638,0.018291470780968665,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\34096.png,img/34096.png,"removes polish with chemicals, nobody bats an eye",0.0,relief,0.1131864488124847,0.6567113399505615,0.16585838645696638,humor
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\25489.png,img/25489.png,brother... a day without a blast is a day wasted,1.0,disappointment,0.1615682542324066,0.0829716846346855,0.014520044811069962,neutral
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\19324.png,img/19324.png,when you're the only dog left at the dog shelter and the black family wants to adopt you,0.0,desire,0.1679513603448867,0.7592781782150269,0.2084517933428287,irony
train,C:\Users\fabri\Desktop\Portfolio\SarcasmDiffusion\data\img\79346.png,img/79346.png,voting for hillary is like letting casey anthony watch your kids because she's not guilty,0.0,desire,0.1086731776595115,0.9069879055023192,0.20762581340968603,irony
